country,zone,gahi_lsms_start_yr,lsms_end_yr,prevalence,num_positive,num_examined,fert,urea,dap,manure,compost,organic_fert,organic_fert_dummy,inorganic_fert_dummy,fert_dummy,num_hh_fert,total_urea,total_dap,total_area,urea_use,dap_use,num_hh_quant,prevention,pest,herb,fung,num_hh_phf
ethiopia,Jimma,2011,2012,0.26305609284332687,136,517,0.6730769230769231,0.25,0.5961538461538461,0.38461538461538464,0.038461538461538464,0,0.40384615384615385,0.5961538461538461,0.6346153846153846,52,277,388,54071,0.005122893972739546,0.007175750402248895,19,1,0.030303030303030304,0.9696969696969697,0.030303030303030304,33
ethiopia,Semen Gondar,2011,2012,0.3793103448275862,121,319,0.7571428571428571,0.2571428571428571,0.2571428571428571,0.5857142857142857,0.15714285714285714,0.38571428571428573,0.6285714285714286,0.2571428571428571,0.7142857142857143,70,344,317,69295,0.0049642831373114945,0.004574644635255069,30,1,0,1,0,9
ethiopia,Gamo Gofa,2013,2014,0,0,399,0.7325581395348837,0.19767441860465115,0.43023255813953487,0.5930232558139535,0.03488372093023256,0.03488372093023256,0.6046511627906976,0.4418604651162791,0.7209302325581395,86,11820,12725,38619.75,0.30606101800244695,0.32949462386473244,18,1,0.2,1,0,5
ethiopia,Mirab Gojjam,2013,2014,0.355463347164592,257,723,0.974025974025974,0.922077922077922,0.948051948051948,0.7662337662337663,0.4025974025974026,0,0.8441558441558441,0.948051948051948,0.974025974025974,77,6611,8236,534705.6,0.012363812909384155,0.015402868419556482,267,1,0.15217391304347827,0.9130434782608695,0,46
ethiopia,Oromia,2013,2014,0.57,171,300,0.4482758620689655,0.10344827586206896,0.034482758620689655,0.4482758620689655,0,0.06896551724137931,0.4482758620689655,0.10344827586206896,0.41379310344827586,29,20,20,1607.75,0.012439744985227803,0.012439744985227803,1,0.6666666666666666,0.25,0.3333333333333333,0.25,12
ethiopia,Semen Gondar,2013,2014,0.0019801980198019802,2,1010,0.6282051282051282,0.32051282051282054,0.3076923076923077,0.44871794871794873,0.10256410256410256,0,0.48717948717948717,0.34615384615384615,0.6282051282051282,78,517,484,109386,0.004726381803887152,0.004424697858958185,44,1,0.6,0.4,0,5
ethiopia,Agnuak,2015,2016,0.35855263157894735,109,304,0,0,0,0,0,0,0,0,0,23,NA,NA,NA,NA,NA,NA,1,0,0,0.1,10
ethiopia,Bench Maji,2015,2016,0.44782608695652176,206,460,0.4745762711864407,0.06779661016949153,0.0847457627118644,0.3559322033898305,0,0.15254237288135594,0.3898305084745763,0.11864406779661017,0.4745762711864407,59,50,50,7335.38,0.006816279456551671,0.006816279456551671,2,1,0,1,0,2
ethiopia,Debub Gondar,2015,2016,0.023706896551724137,11,464,0.9264705882352942,0.6029411764705882,0.5294117647058824,0.6764705882352942,0.2647058823529412,0,0.7794117647058824,0.6323529411764706,0.9264705882352942,68,1164,1266,136032.04,0.008556807646198645,0.009306630996638733,109,1,0.4,0.5,0,10
